time,open,high,low,close
2023-05-08T15:49:00-03:00,4140.86,4141.16,4140.59,4141.16
2023-05-08T15:50:00-03:00,4141.18,4141.62,4141.18,4141.41
2023-05-08T15:51:00-03:00,4141.45,4142.05,4141.4,4142.05
2023-05-08T15:52:00-03:00,4142.08,4142.3,4140.74,4140.78
2023-05-08T15:53:00-03:00,4140.81,4140.81,4140.2,4140.4
2023-05-08T15:54:00-03:00,4140.37,4140.98,4140.37,4140.46
2023-05-08T15:55:00-03:00,4140.49,4140.94,4140.2,4140.82
2023-05-08T15:56:00-03:00,4140.82,4140.91,4140.28,4140.84
2023-05-08T15:57:00-03:00,4141.02,4141.15,4140.82,4141.13
2023-05-08T15:58:00-03:00,4141.18,4141.41,4140.94,4141.41
2023-05-08T15:59:00-03:00,4141.41,4141.43,4140.96,4141.33
2023-05-08T16:00:00-03:00,4141.37,4141.79,4141.33,4141.33
2023-05-08T16:01:00-03:00,4141.3,4141.3,4139.83,4139.83
2023-05-08T16:02:00-03:00,4139.82,4140.19,4139.54,4139.75
2023-05-08T16:03:00-03:00,4139.79,4140.43,4139.79,4140.07
2023-05-08T16:04:00-03:00,4140.07,4140.51,4139.88,4140.17
2023-05-08T16:05:00-03:00,4140.18,4140.98,4139.98,4140.75
2023-05-08T16:06:00-03:00,4140.79,4140.81,4140.32,4140.77
2023-05-08T16:07:00-03:00,4140.79,4140.79,4139.47,4139.53
2023-05-08T16:08:00-03:00,4139.62,4140.56,4139.53,4140.5
2023-05-08T16:09:00-03:00,4140.59,4140.59,4139.72,4139.73
2023-05-08T16:10:00-03:00,4139.74,4139.94,4139.36,4139.82
2023-05-08T16:11:00-03:00,4139.82,4139.82,4138.99,4139.08
2023-05-08T16:12:00-03:00,4139.29,4140.01,4139.29,4139.65
2023-05-08T16:13:00-03:00,4139.7,4139.76,4138.67,4138.73
2023-05-08T16:14:00-03:00,4138.74,4138.74,4137.08,4137.57
2023-05-08T16:15:00-03:00,4137.58,4138.7,4137.58,4138.5
2023-05-08T16:16:00-03:00,4138.48,4138.48,4134.77,4135.31
2023-05-08T16:17:00-03:00,4135.3,4136.01,4135.09,4136.01
2023-05-08T16:18:00-03:00,4136.01,4137.43,4135.9,4137.43
2023-05-08T16:19:00-03:00,4137.44,4138.26,4137.44,4138.26
2023-05-08T16:20:00-03:00,4138.27,4138.66,4137.86,4138.4
2023-05-08T16:21:00-03:00,4138.38,4138.93,4138.27,4138.59
2023-05-08T16:22:00-03:00,4138.6,4138.6,4137.39,4137.75
2023-05-08T16:23:00-03:00,4137.84,4137.99,4137.22,4137.48
2023-05-08T16:24:00-03:00,4137.46,4137.65,4137.25,4137.53
2023-05-08T16:25:00-03:00,4137.54,4137.54,4136.48,4136.71
2023-05-08T16:26:00-03:00,4136.72,4136.78,4136.18,4136.57
2023-05-08T16:27:00-03:00,4136.5,4136.5,4135.99,4136.18
2023-05-08T16:28:00-03:00,4136.25,4137.05,4135.96,4136.01
2023-05-08T16:29:00-03:00,4135.88,4135.93,4134.91,4135.84
2023-05-08T16:30:00-03:00,4135.84,4136.46,4135.06,4136.33
2023-05-08T16:31:00-03:00,4136.36,4136.55,4135.7,4136.55
2023-05-08T16:32:00-03:00,4136.61,4136.93,4136.53,4136.93
